s no,Common Desises in pakistan ,Gender,description
1,Heart disease,male,"Heart disease is a term used to describe a range of conditions that affect your heart and blood vessels. These conditions include:heart arrhythmias (irregular heartbeats)
coronary artery disease (blocked arteries)
heart defects"
2,Cancer,male/female,"Cancer is the result of rapid and uncontrolled cell growth in your body. A normal cell multiplies and divides in a controlled manner. Sometimes, those instructions become scrambled. When this happens, the cells begin to divide at an uncontrolled rate. This can develop into cancer."
3,Stroke,male,"A stroke occurs when the blood flow to your brain is cut off. Without oxygen-rich blood flowing to your brain, your brain cells begin to die in a matter of minutes.
The blood flow can be stopped because of a blocked artery or bleeding in the brain. This bleeding may be from an aneurysm or a broken blood vessel."
4, Alzheimer’s,women,Alzheimer's disease is the most common type of dementia. It is a progressive disease beginning with mild memory loss and possibly leading to loss of the ability to carry on a conversation and respond to the environment.
5,Diabetes,male/female,"Diabetes is a chronic (long-lasting) health condition that affects how your body turns food into energy.
Most of the food you eat is broken down into sugar (also called glucose) and released into your bloodstream. When your blood sugar goes up, it signals your pancreas to release insulin. Insulin acts like a key to let the blood sugar into your body’s cells for use as energy."
6,Tuberculosis (TB),male/female,This disease spreads by sneezing and coughing and can become deadly if not treated on time.
7,Hepatitis,male,"Hepatitis A and E are formed through the consumption of unhealthy food and drinking unclean water. Hepatitis B and C are formed because of blood transfusions and sharing pieces of equipment such as razors, toothbrushes, and other household articles."
8,Dengue Fever,male/female,"Dengue is a viral infection which is caused by a specific mosquito type. It causes fever, severe headache, and weakness in the patient."
9,Asthma,male/female,"The main causes of asthma include smoke, dust and pollution. There is no permanent cure for asthma but with proper medical treatment, patients can live a normal life without any issue."
10,Malaria,male/female,The majority of people living in slums suffer from Malaria. This disease is caused when mosquitoes breed on unclean water and unsanitary conditions.Malaria can cause death too if left untreated.
