s no,Fruit name,Description,Nutritions,Good for,Bad for,Refrences
1,strawberry,"Highly water contented,also have fiber and potassium to boost heart health","17 calories,4.15g carbohydrate,1.1 gof fiber,9mg of calcium,7mg of magnesium,83mg of potassium,31.8mg of vitamin C","Perverting eart diesease,Preventing Stroke,Cancer,Blood pressure,Diabetes","Low calories,Low protein,Low fat,High in sugar,Low in vitamins",https://www.medicalnewstoday.com/articles/324431
2,apple,"Good for the heart health,skin also promote to weight loss","95 calories,25.13g of carbohydrate,4.4g of fiber,195mg of potassium,11mg calcium,8.4mg vitamin C","Stroke,Cholesterol,Heart health,Cancer,Obesity,fever","High calories,Loose Stools,Stomachache,Pesticides,Allergies",https://www.medicalnewstoday.com/articles/324431
3,banana,"Highly potassium contented, helps the body control heart rate and blood pressure.","1.29g protein,6mg calcium,32mg magnesium,10.3mg vitamin C","Blood pressure,Asthma,Cancer,Digestive health","Headache,Tooth decay,Lack amount of protein",https://www.medicalnewstoday.com/articles/324431
4,blueberries,"blueberries content  powerful antioxidant. Because of this, they might protect against heart disease, stroke, cancers, and other diseases.","42 calories,10.72g carbohydrate,1.8g fiber,4mg calcium,57mg potassium,7.2mg vitamin C","Maintaining healthy bones,Skin healthy,lowering blood pressure,Maintaining diabetes,protecting heart disease,Improving mental health,healthy digestion,Weight loss","Effects on blood sugar level,may have pesticides",https://www.medicalnewstoday.com/articles/324431
5,orange,"Oranges are a sweet, round citrus fruit packed with richest amout of vitamins and minerals.Also boost the amune system","65 calories,16.27g carbohydrate,3.4g of fiber,61mg of calcium,14mg of magnesium,238mg of potassium,63.5mg of vitamin C","heart health,Diabetes,Skin,Blood pressure,Cancer","lack of fat,Low in fiber,high in sugar,Low in Amino Acid,Low in minerals",https://www.medicalnewstoday.com/articles/324431
6,pineapple,"Pineapples contain manganese, which the body uses to build bone and healthy tissue.","42 calories,11.02g carbohydrate,1.2g fiber,92mg potassium,40.2mg vitamin C,11mg calcium","Asthma prevention,Blood pressure,Cancer, Diabetes,Digestive,Fertility,Healing and inflammation,Skin","High sugar content,Cause Allergies ",https://www.medicalnewstoday.com/articles/324431
7,grapefruit,"Grapefruits are sour fruits full of health-inducing vitamins and minerals.grapefruits can help protect against oxidative stress and tumors and may support healthy bone.grapefruit furanocoumarins may have anticancer properties, which may be especially effective against breast cancer, skin cancer, and leukemia.","52 calories,13.11g carbohydrate,2.0g fiber,27g calcium,11g magnesium,166g potassium,38.4g vitamin C","Diabetes,weight loss,stroke,Digestion,Skin,Immune function","cause of high blood pressure,calcium channel blocker",https://www.medicalnewstoday.com/articles/324431
8,mango,"Sometimes referred to as the “king of fruits”, mangoes are a tropical fruit with extremely sweet and juicy flesh.Mangoes contain a stone (making them a drupe) surrounded by sweet yellow flesh; this taste is slightly sweet, soft, and tangy.The sweet taste makes sense when we consider that mangoes are one of the highest carbohydrate/sugar fruits.","107 calories,Carbohydrate: 28.1g,Fiber: 3.0g,Sugar: 24.4g,Fat: 0.4g,Protein: 0.8g,Vitamin C: 76% RDA,Vitamin A: 25% RDA,Vitamin B6: 11% RDA,Copper: 9% RDA,Vitamin E: 9% RDA","Cancer,Diabetes,Heart disease,Skin and hair, boost the immune system,increase the body weight,good for digestion","Constipation,Increase Blood Sugar Level,Diarrhea,Cause Sore Throat",https://www.nutritionadvance.com/healthy-foods/types-of-fruit/
9,watermelon,"The origin of watermelons is Southern Africa.As you might guess from the name, watermelons are another fruit with a high water content 91.5% to be exact.Watermelons taste sweet and juicy, and provide the following nutrients per cup (154g) (58);","46.2 calories,Carbohydrate: 11.6g,Fiber: 0.6g,Sugar: 9.5g,Fat: 0.2g,Protein: 0.9g,Vitamin C: 21% RDA,Vitamin A: 18% RDA,Potassium: 5% RDA,Magnesium: 4% RDA,Vitamin B5: 3% RDA","Anti-cancer,Hydrate Your Body,Cure Inflammation,Boost Immune System,Asthma prevention,Blood pressure","Cause Cardio Vascular Disease,Diarrhea,Increase the Glucose level,Allergy",https://www.nutritionadvance.com/healthy-foods/types-of-fruit/
10,guava,"Guava has an interesting appearance and it has a lime-green skin with a pink fleshy center. Depending on the ripeness of the fruit, guavas may taste anything from slightly sour to sweet.Nutritionally, guavas are an exceptional provider of vitamin C – just one small fruit supplies 209% of the RDA.","37.4 calories,Carbohydrate: 7.9g,Fiber: 3.0g,Sugar: 4.9g,Fat: 0.5g,Protein: 1.4g,Vitamin C: 209% RDA,Vitamin A: 7% RDA,Folate: 7% RDA,Potassium: 7% RDA,Copper: 6% RDA","Diarrhea,Flu,Blood pressure,Cancer","Affects Digestion,Boosts Blood Sugar Level,May Cause Skin Irritation",https://www.medicalnewstoday.com/articles/324758
